Subfolder,File Name,ROI Index,NumOrganoids,Feret,MinFeret,Average Feret,Area,Equivalent Circle Diameter,Major,Minor,Circularity,Roundness,Solidity,MeetsCriteria
,Untreat_Merge.tif,2,29,230.243627491,196.81177631,213.5277019,34193.92,208.655340534,222.754102198,195.448930924,0.674043116733,0.877420119295,0.967454630137,True
,Untreat_Merge.tif,3,29,208.568427141,164.94256519,186.755496165,24011.9872,174.851398767,181.606108065,168.347926049,0.641135249454,0.926994845289,0.933090925415,True
,Untreat_Merge.tif,4,29,329.882900436,302.84812517,316.365512803,78174.1168,315.490692231,328.143060882,303.326166998,0.816552172116,0.924371724281,0.990772564393,True
,Untreat_Merge.tif,5,29,171.519388991,120.946871415,146.233130203,13579.376,131.490678438,167.85676426,103.00328731,0.445889883631,0.613637989298,0.848506722007,True
,Untreat_Merge.tif,6,29,325.596808338,170.402073715,247.999441027,39109.8736,223.150706154,328.04736715,151.795876582,0.487707500349,0.462725483521,0.908001045976,True
,Untreat_Merge.tif,7,29,284.845931689,271.32,278.082965845,58804.8784,273.628756899,278.946827733,268.412074125,0.574756160029,0.962233828958,0.981220634653,True
,Untreat_Merge.tif,8,29,235.489651577,189.73578861,212.612720094,33994.0704,208.044694044,228.709990738,189.246628799,0.602828161937,0.82745239151,0.972897914652,True
,Untreat_Merge.tif,9,29,201.573434758,176.253171022,188.91330289,21999.6288,167.364265474,169.231016038,165.51810663,0.500931508016,0.978060112769,0.835767184157,True
,Untreat_Merge.tif,10,29,105.97845064,88.5147360493,97.2465933445,7021.8832,94.5544254319,98.9084923206,90.3920296325,0.637914190306,0.913895536285,0.949357697864,True
,Untreat_Merge.tif,11,29,135.682883224,121.452660737,128.56777198,10375.4288,114.936531363,118.234472689,111.730580272,0.534373178308,0.944991572513,0.860997938935,True
,Untreat_Merge.tif,12,29,124.903867034,88.5540448706,106.728955952,8365.9584,103.207892453,121.663142392,87.5521448405,0.550987063747,0.719627515111,0.95374181016,True
,Untreat_Merge.tif,13,29,344.008104556,258.704507653,301.356306104,46924.8016,244.430998496,289.275305197,206.538587818,0.350281945058,0.713986241157,0.772106063486,True
,Untreat_Merge.tif,14,29,278.305317233,216.498361474,247.401839354,42812.8672,233.475984937,258.462063576,210.905363783,0.607456831497,0.816001237722,0.974161497214,True
,Untreat_Merge.tif,15,29,135.750977897,98.9710818102,117.361029854,8405.8128,103.453435238,128.160627055,83.5093702999,0.376322419406,0.65159926429,0.859649122807,True
,Untreat_Merge.tif,16,29,160.073393167,93.6118846728,126.84263892,7666.4848,98.799147853,125.203722905,77.9631099615,0.29571962235,0.622690029915,0.738681581657,True
,Untreat_Merge.tif,17,29,278.382097126,263.00094895,270.691523038,52681.7408,258.991265629,262.402148816,255.624719442,0.533048361686,0.974171593467,0.941890845252,True
,Untreat_Merge.tif,18,29,200.507532028,175.589841266,188.048686647,24647.9248,177.151665392,178.472752579,175.840357127,0.670513908828,0.985250435075,0.9107945147,True
,Untreat_Merge.tif,19,29,123.796045171,90.5589214652,107.177483318,7148.3776,95.4022905439,105.349194868,86.3945571911,0.311357498302,0.820078001543,0.799121844127,True
,Untreat_Merge.tif,20,29,227.213309469,147.381687892,187.297498681,24364.3232,176.129553962,216.141618162,143.52450973,0.570817836627,0.664029958462,0.959990896677,True
,Untreat_Merge.tif,21,29,225.872204576,192.332217268,209.102210922,28804.3344,191.506703846,206.334246349,177.744694673,0.479438299742,0.861440588844,0.87371445591,True
,Untreat_Merge.tif,22,29,214.543571332,150.217386091,182.380478712,20958.7936,163.357169483,197.896224766,134.846255168,0.518334238852,0.681398825709,0.850516249253,True
,Untreat_Merge.tif,23,29,119.733170007,105.55211313,112.642641568,9126.08,107.794647105,112.125101466,103.631441956,0.576715623121,0.924248367237,0.950719056502,True
,Untreat_Merge.tif,24,29,383.355029183,325.947179506,354.651104345,96945.5392,351.333024629,381.721926538,323.363384741,0.836725900551,0.847117658852,0.990715107871,True
,Untreat_Merge.tif,25,29,197.111241689,173.351202185,185.231221937,23810.4048,174.115906704,179.340109673,169.043885514,0.681703501706,0.942588280013,0.926369959213,True
,Untreat_Merge.tif,26,29,151.024066956,98.0114625588,124.517764758,10185.976,113.882340356,145.631969025,89.0545361145,0.66264528384,0.611504031093,0.928231176145,True
